nome_x,nome_regiao,quantidade_nascimentos_ate_2010
Aa,Sudeste,25
Aadriana,Sudeste,13
Aana,Sudeste,95
Aantonio,Sudeste,23
Aarao,Sudeste,38
Aarecida,Sudeste,39
Aaron,Sudeste,93
Abadia,Centro-Oeste,3495
Abadil,Centro-Oeste,11
Abadio,Centro-Oeste,497
Abbas,Sul,37
Abda,Sudeste,14
Abdala,Sudeste,53
Abdalla,Sudeste,17
Abdallah,Sudeste,16
Abdel,Centro-Oeste,13
Abdenego,Sudeste,11
Abdias,Nordeste,852
Abdiel,Sudeste,60
Abdo,Sudeste,99
Abdom,Sudeste,10
Abdon,Nordeste,175
Abdoral,Nordeste,72
Abdu,Sudeste,16
Abdul,Sudeste,45
Abedias,Sudeste,27
Abegail,Sul,36
Abeildo,Sudeste,10
Abel,Sudeste,8341
Abelar,Sudeste,44
Abelardo,Nordeste,999
Abelina,Sudeste,91
Abelino,Sudeste,69
Abelita,Sudeste,42
Abener,Sudeste,36
Abenilda,Sudeste,10
Abenilde,Sudeste,13
Abenildo,Nordeste,43
Abenilson,Nordeste,13
Aberlado,Sudeste,80
Aberlardo,Sudeste,26
Abertina,Sudeste,13
Aberto,Sudeste,44
Abeu,Sudeste,21
Abgail,Sudeste,927
Abgair,Sudeste,27
Abia,Sudeste,73
Abiana,Sudeste,16
Abias,Sudeste,43
Abib,Sudeste,14
Abidias,Nordeste,124
Abidiel,Sudeste,10
Abidon,Centro-Oeste,10
Abidu,Sudeste,11
Abiel,Sudeste,11
Abigail,Sudeste,3634
Abigair,Sudeste,29
Abigaiu,Sudeste,68
Abilene,Nordeste,106
Abilho,Sudeste,28
Abilia,Sudeste,38
Abilio,Sudeste,4003
Abimael,Nordeste,1268
Abinadabe,Nordeste,25
Abinael,Sudeste,28
Abinaldo,Sudeste,11
Abine,Sudeste,16
Abiner,Sudeste,124
Abinoan,Sudeste,15
Abir,Sul,16
Abmael,Nordeste,493
Abnael,Nordeste,12
Abnaldo,Nordeste,12
Abne,Sudeste,113
Abner,Sudeste,5522
Abnoan,Nordeste,25
Abraao,Nordeste,4738
Abraham,Sudeste,76
Abrahan,Sudeste,14
Abrahao,Sudeste,197
Abrahim,Norte,16
Abraim,Norte,41
Abrain,Norte,31
Abram,Sudeste,49
Abramo,Sul,10
Abrao,Sudeste,1721
Abrelina,Sul,19
Abrelino,Sul,144
Abreu,Sudeste,38
Abriel,Sudeste,68
Abriela,Sudeste,41
Abrilino,Sul,10
Abruno,Sudeste,11
Absair,Centro-Oeste,23
Absalao,Centro-Oeste,20
Absolon,Sudeste,13
Abson,Sudeste,10
Abtonio,Sudeste,16
Abud,Sudeste,12
Acacia,Nordeste,886
Acacio,Sudeste,2132
Acarlos,Sudeste,19
Acasia,Nordeste,29
Acasio,Sudeste,110
Acassia,Nordeste,223
Acassio,Sudeste,706
Acaua,Sudeste,21
Accacio,Sudeste,36
Aceli,Sudeste,21
Acelia,Sul,32
Acelina,Sudeste,48
Acelino,Nordeste,205
Acelio,Sul,62
Acelmo,Sudeste,17
Acely,Sudeste,13
Acemar,Sul,11
Acendino,Sudeste,12
